                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.138,                0.96446,                 1.3547,                 0.7484,                0.76357,                0.80382,                0.51543,                 1.2494,                0.96667,                 1.5229,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1542,                0.96953,                 1.3686,                0.77351,                0.78521,                0.81457,                0.51406,                  1.242,                0.92762,                 1.5094,              0.0013268,              0.0013268,              0.0013268
                     37,                  1.137,                0.97033,                 1.3505,                0.77868,                0.74777,                0.79476,                0.52395,                 1.2227,                0.94645,                 1.4793,               0.001307,               0.001307,               0.001307
                     38,                 1.1351,                0.95437,                 1.3492,                0.75397,                0.77232,                0.79858,                0.51453,                 1.2136,                0.94091,                   1.47,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1133,                0.94133,                 1.3401,                0.72027,                0.79316,                0.79876,                0.51418,                 1.2479,                0.95298,                 1.5035,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1163,                0.93685,                 1.3299,                0.80707,                0.75223,                0.81367,                0.53296,                 1.2094,                0.90713,                  1.484,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.1102,                0.92583,                 1.3313,                0.71582,                0.80804,                0.79983,                0.51455,                  1.232,                0.94406,                 1.5079,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0916,                 0.9071,                 1.3252,                0.75756,                0.76786,                0.79204,                0.50367,                 1.2535,                0.93849,                 1.5319,               0.001208,               0.001208,               0.001208
                     43,                 1.1103,                 0.9162,                 1.3313,                0.76054,                0.79401,                0.82083,                0.52074,                 1.2305,                0.91085,                 1.5041,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0985,                0.91169,                 1.3302,                0.81156,                0.74023,                0.81361,                0.52753,                 1.1868,                0.90276,                 1.4754,              0.0011684,              0.0011684,              0.0011684
